age,education_level,gender,stem_interest_score,creativity_score,social_skills_score,analytical_skills_score,problem_solving_score,technical_aptitude_score,communication_score,leadership_potential_score,career_category,specific_career,annual_salary_expectation,work_environment_preference,job_growth_interest,work_life_balance_score,global_mobility_score
50,Master's,Prefer Not to Say,37,86,64,39,63,69,62,19,Arts and Performance,Choreographer,82767,Hybrid,82,45,45
37,Master's,Female,23,58,62,61,72,67,59,49,Education,University Professor,91231,Travel-based,75,27,59
22,Bachelor's,Female,28,71,49,64,51,51,69,40,Culinary and Hospitality,Food Scientist,71965,Travel-based,64,62,41
37,High School,Female,40,75,32,46,41,79,54,71,Education,Educational Psychologist,111689,On-site,72,30,55
46,Professional Degree,Male,40,78,96,43,41,79,82,40,Education,Educational Psychologist,44666,Flexible,52,52,44
25,Master's,Female,35,49,55,81,30,70,46,49,Healthcare,Dentist,96472,Hybrid,73,73,28
40,Master's,Prefer Not to Say,56,99,37,39,38,39,37,74,Education,Curriculum Developer,60029,Travel-based,79,88,39
29,Master's,Female,63,54,20,81,86,38,42,56,Media and Communication,Content Creator,145306,On-site,66,67,63
27,Master's,Female,22,35,49,86,40,54,50,74,Healthcare,Dentist,70317,On-site,91,100,39
42,Bachelor's,Prefer Not to Say,87,62,43,62,72,66,60,71,Education,Curriculum Developer,104461,On-site,67,83,78
36,High School,Male,74,34,57,42,51,76,54,51,Media and Communication,Broadcast Journalist,104365,Flexible,100,33,65
32,Master's,Female,54,55,82,48,56,62,54,41,Healthcare,Nutritionist,54205,Remote,73,64,71
28,Master's,Male,74,20,39,58,81,49,39,88,Technology,Network Security Specialist,98200,On-site,60,31,6
25,Master's,Female,64,55,39,24,67,63,48,87,Culinary and Hospitality,Food Scientist,64243,Hybrid,69,39,19
37,Associate Degree,Male,45,57,25,79,48,72,57,59,Education,University Professor,104282,Travel-based,97,71,59
37,Bachelor's,Male,64,48,79,36,86,49,21,53,Culinary and Hospitality,Food Scientist,65421,Hybrid,61,46,67
20,Associate Degree,Male,41,2,18,65,66,59,31,49,Engineering,Civil Engineer,130102,Hybrid,88,60,27
33,Bachelor's,Male,51,54,9,45,36,30,44,86,Social Sciences,Social Worker,102177,Remote,98,73,39
44,Master's,Male,51,37,64,58,68,63,71,39,Healthcare,Veterinarian,147258,Remote,56,86,54
50,Master's,Female,54,37,40,44,58,60,39,50,Arts and Performance,Actor,128090,Travel-based,71,100,85
36,High School,Non-Binary,62,30,45,17,58,63,40,81,Business,Product Manager,91734,Hybrid,91,35,21
50,Associate Degree,Female,41,72,49,47,68,63,18,80,Media and Communication,Journalist,91874,Remote,80,88,37
38,Master's,Female,39,37,49,73,61,43,65,0,Finance and Economics,Cryptocurrency Analyst,74127,Remote,48,83,15
22,Master's,Male,73,41,57,49,60,52,24,70,Creative,Graphic Designer,59657,Remote,100,50,19
44,Master's,Non-Binary,43,43,44,92,58,59,71,55,Business,Startup Founder,82852,On-site,69,55,46
42,Bachelor's,Male,51,65,48,52,10,68,57,70,Culinary and Hospitality,Pastry Chef,80812,Hybrid,92,2,92
25,Bachelor's,Female,62,29,38,88,46,54,67,60,Social Sciences,Anthropologist,157102,Hybrid,69,63,57
37,PhD,Prefer Not to Say,71,72,74,63,27,83,27,56,Arts and Performance,Opera Singer,94863,Remote,76,45,49
39,PhD,Male,82,59,45,69,74,25,62,64,Finance and Economics,Corporate Treasurer,80498,Hybrid,73,54,78
33,PhD,Female,50,28,21,82,33,30,7,37,Technology,Machine Learning Engineer,115295,On-site,56,34,83
50,Master's,Female,70,44,0,96,22,17,70,99,Culinary and Hospitality,Food Critic,102843,Remote,87,88,61
43,Associate Degree,Male,56,52,49,35,44,16,48,30,Creative,Film Director,126760,Hybrid,88,38,54
20,Bachelor's,Male,30,69,30,46,61,31,52,23,Culinary and Hospitality,Food Critic,37210,Remote,79,48,56
35,Bachelor's,Female,61,54,77,53,41,52,61,51,Creative,Film Director,65113,Hybrid,42,61,36
50,Bachelor's,Male,25,36,36,68,44,75,37,56,Technology,Network Security Specialist,49372,Hybrid,76,43,93
41,Bachelor's,Female,58,46,47,51,47,69,94,39,Education,Special Education Specialist,162391,Remote,54,33,48
50,High School,Female,84,39,61,83,42,46,38,30,Engineering,Automotive Engineer,86023,On-site,55,47,26
37,Master's,Prefer Not to Say,19,57,67,10,57,75,26,83,Business,Business Intelligence Analyst,83327,Remote,81,68,36
36,Bachelor's,Female,61,32,53,22,48,32,35,75,Technology,Cloud Solutions Architect,52231,Remote,64,82,62
47,Master's,Male,53,96,58,54,44,53,47,64,Creative,Writer/Author,45063,Remote,33,79,34
40,PhD,Male,28,7,58,100,50,67,52,48,Education,Educational Consultant,93022,Flexible,76,78,44
28,Master's,Male,70,47,35,61,32,51,50,72,Finance and Economics,Corporate Treasurer,109533,On-site,98,69,49
41,Professional Degree,Female,50,24,29,44,38,46,51,61,Healthcare,Medical Researcher,86934,Hybrid,30,59,60
26,Master's,Female,47,26,62,81,74,46,80,53,Culinary and Hospitality,Hospitality Manager,75926,Hybrid,62,53,38
37,Associate Degree,Prefer Not to Say,53,50,59,74,69,20,0,69,Media and Communication,Podcast Producer,49897,Remote,34,33,46
40,Bachelor's,Female,65,38,0,39,58,20,54,50,Healthcare,Physical Therapist,55808,On-site,94,72,52
33,Bachelor's,Male,49,31,41,32,47,84,23,18,Healthcare,Physical Therapist,64928,Remote,91,89,46
29,Bachelor's,Female,87,64,40,93,38,65,56,76,Finance and Economics,Cryptocurrency Analyst,62397,On-site,79,91,51
28,Associate Degree,Male,90,53,43,54,23,31,74,37,Arts and Performance,Dancer,120571,Remote,84,39,61
45,Bachelor's,Male,35,22,80,44,45,77,61,59,Social Sciences,Urban Planner,112835,Hybrid,71,100,37
38,Professional Degree,Male,81,60,61,71,43,33,29,11,Healthcare,Nurse Practitioner,78362,On-site,64,100,28
38,Bachelor's,Male,66,67,38,47,56,45,82,60,Science,Geologist,120204,Hybrid,74,75,63
22,PhD,Female,58,37,39,62,75,50,56,84,Healthcare,Psychologist,101965,On-site,35,65,100
43,Master's,Female,58,76,63,47,26,46,33,38,Social Sciences,Social Worker,96840,Hybrid,46,72,83
39,Associate Degree,Female,74,38,47,50,34,63,48,58,Science,Geneticist,106671,Hybrid,63,42,41
50,Master's,Female,42,54,69,22,15,19,75,39,Business,Product Manager,90537,Hybrid,100,100,39
50,Associate Degree,Male,91,74,70,62,66,39,34,50,Finance and Economics,Financial Planner,105892,On-site,89,57,41
36,Bachelor's,Male,80,27,46,36,13,48,48,80,Arts and Performance,Opera Singer,140623,Remote,94,73,30
41,Bachelor's,Female,45,31,43,72,88,81,40,28,Healthcare,Nurse Practitioner,94695,Hybrid,67,63,15
30,Bachelor's,Female,18,60,39,27,0,49,85,83,Finance and Economics,Cryptocurrency Analyst,99063,Remote,50,51,38
38,Master's,Male,65,75,48,46,32,33,45,57,Science,Physicist,129781,On-site,65,78,34
35,Master's,Non-Binary,35,2,68,65,44,51,60,19,Technology,AI Research Scientist,47371,Flexible,76,49,66
21,Master's,Female,59,49,18,73,35,34,54,73,Engineering,Electrical Engineer,97864,On-site,84,40,51
37,Master's,Male,43,33,52,29,0,59,68,3,Finance and Economics,Securities Trader,146725,Hybrid,70,40,62
28,Bachelor's,Female,46,77,37,34,40,31,52,82,Science,Geologist,76246,On-site,39,66,45
44,Bachelor's,Male,48,46,100,56,35,41,73,52,Social Sciences,Community Development Manager,64956,Remote,100,31,68
46,Associate Degree,Female,41,76,51,67,60,33,37,71,Media and Communication,Copywriter,56346,On-site,78,53,42
50,Master's,Male,29,50,78,48,59,29,59,46,Culinary and Hospitality,Nutritional Consultant,162687,Travel-based,82,80,74
38,PhD,Prefer Not to Say,54,43,57,44,53,76,30,73,Media and Communication,Copywriter,21344,Travel-based,58,86,48
48,Master's,Male,50,30,40,67,61,45,43,42,Finance and Economics,Actuary,75330,Hybrid,94,42,82
50,Bachelor's,Female,70,41,58,50,32,56,26,74,Engineering,Environmental Engineer,93499,Hybrid,65,51,54
41,Master's,Male,41,67,23,53,89,30,36,60,Creative,Graphic Designer,87176,Travel-based,83,64,57
46,Bachelor's,Female,58,45,63,88,47,31,72,48,Culinary and Hospitality,Nutritional Consultant,68940,Hybrid,68,17,67
38,Master's,Prefer Not to Say,54,64,41,60,45,65,62,31,Creative,Music Producer,109242,Remote,77,82,39
50,High School,Non-Binary,46,43,50,44,66,18,29,29,Engineering,Civil Engineer,81867,Hybrid,67,79,84
36,Master's,Male,73,31,55,70,60,54,70,0,Arts and Performance,Opera Singer,30081,Hybrid,80,74,37
49,Bachelor's,Female,47,69,82,76,83,65,52,18,Engineering,Mechanical Engineer,150128,Hybrid,66,55,33
36,PhD,Male,61,51,84,38,54,35,24,38,Healthcare,Psychiatrist,64227,On-site,42,59,41
34,Bachelor's,Male,20,65,52,21,44,35,56,77,Creative,Interior Designer,80196,On-site,83,22,52
37,PhD,Male,35,44,34,72,50,88,49,36,Science,Marine Biologist,37476,Hybrid,75,30,14
40,Bachelor's,Female,18,68,40,53,82,68,45,32,Media and Communication,Public Relations Specialist,78666,Remote,50,17,36
34,Professional Degree,Female,52,46,37,53,59,28,78,48,Science,Environmental Scientist,91996,On-site,89,60,64
38,Bachelor's,Female,38,57,27,52,49,46,47,12,Finance and Economics,Economist,89796,Travel-based,49,49,52
48,Master's,Female,33,69,59,37,86,26,68,70,Education,Educational Consultant,77499,Hybrid,76,47,78
38,Associate Degree,Male,47,66,66,15,76,17,71,73,Education,Special Education Specialist,51829,Hybrid,66,38,42
32,High School,Female,66,76,78,39,46,16,34,69,Social Sciences,Political Scientist,67226,Remote,69,92,25
38,Professional Degree,Male,34,58,41,50,61,50,41,48,Creative,Film Director,77236,Flexible,100,58,43
41,Associate Degree,Prefer Not to Say,44,64,43,73,57,48,59,19,Education,Corporate Trainer,89288,Remote,100,37,26
50,Professional Degree,Male,63,60,14,39,34,38,47,41,Business,Investment Banker,52818,On-site,75,20,65
50,Bachelor's,Male,32,0,44,72,89,25,60,41,Creative,Writer/Author,39911,Hybrid,75,58,100
40,Bachelor's,Male,72,52,56,42,55,43,62,43,Media and Communication,Media Strategist,118782,Remote,69,68,49
20,Bachelor's,Prefer Not to Say,75,32,37,38,77,7,100,71,Education,Educational Psychologist,93567,Hybrid,80,64,49
41,Bachelor's,Female,61,52,46,47,46,73,62,0,Education,School Administrator,84439,Remote,62,73,54
46,Bachelor's,Male,69,35,58,31,22,37,67,69,Finance and Economics,Economist,100485,On-site,57,70,65
39,PhD,Female,66,65,74,64,57,71,49,32,Culinary and Hospitality,Catering Manager,64745,Hybrid,67,57,35
27,Bachelor's,Non-Binary,44,12,54,50,34,63,69,18,Creative,Film Director,56803,Hybrid,87,45,35
33,Bachelor's,Female,45,10,63,25,51,56,77,24,Finance and Economics,Financial Planner,139015,Remote,95,0,54
37,Bachelor's,Female,40,66,31,60,60,71,100,58,Finance and Economics,Actuary,31928,On-site,56,50,49
31,Master's,Male,40,53,34,72,50,50,43,53,Media and Communication,Technical Writer,65257,On-site,64,77,33
22,Master's,Female,34,40,67,55,54,67,47,58,Arts and Performance,Professional Musician,67517,Flexible,21,58,55
34,Master's,Male,78,69,69,75,52,54,38,44,Business,Startup Founder,80817,Flexible,61,72,74
35,High School,Female,62,21,4,39,26,40,47,41,Social Sciences,Sociologist,94014,Hybrid,82,89,57
24,Bachelor's,Female,71,48,63,29,19,66,58,32,Social Sciences,Cultural Researcher,49318,On-site,100,43,73
26,Master's,Male,63,43,62,39,47,51,30,65,Culinary and Hospitality,Chef,55170,Hybrid,19,50,45
33,Master's,Male,98,66,50,45,50,61,26,72,Culinary and Hospitality,Food Critic,98154,On-site,70,74,64
42,Professional Degree,Female,62,43,39,52,81,25,21,53,Healthcare,Veterinarian,92319,Remote,66,61,53
50,Bachelor's,Non-Binary,18,33,48,17,46,83,50,55,Engineering,Structural Engineer,73744,Remote,64,35,38
48,Professional Degree,Prefer Not to Say,61,28,55,60,73,82,30,34,Arts and Performance,Choreographer,98991,Hybrid,90,35,45
34,Master's,Male,44,53,33,92,18,54,90,50,Finance and Economics,Actuary,79588,Hybrid,97,56,43
20,High School,Female,81,22,45,41,62,18,59,90,Social Sciences,International Relations Specialist,65141,Hybrid,79,33,54
35,Bachelor's,Female,37,60,86,46,64,24,31,59,Engineering,Environmental Engineer,75608,Hybrid,70,90,57
22,Bachelor's,Male,62,68,41,41,55,41,49,92,Social Sciences,Cultural Researcher,65574,Hybrid,85,55,43
33,Professional Degree,Female,37,76,78,38,13,70,36,66,Technology,Network Security Specialist,48665,Hybrid,85,21,68
35,Bachelor's,Female,31,42,64,52,62,90,19,82,Media and Communication,Broadcast Journalist,45091,Flexible,66,62,32
44,High School,Non-Binary,47,80,21,50,25,57,68,42,Culinary and Hospitality,Sommelier,98102,Hybrid,78,8,54
47,Associate Degree,Female,29,64,74,14,56,40,48,57,Media and Communication,Content Creator,86025,Remote,48,50,36
24,Associate Degree,Female,64,27,63,59,15,36,74,30,Culinary and Hospitality,Nutritional Consultant,108502,Hybrid,65,51,59
29,Bachelor's,Male,78,85,70,52,34,33,60,58,Science,Environmental Scientist,39908,On-site,91,88,63
25,Bachelor's,Female,42,55,90,100,62,46,61,68,Engineering,Electrical Engineer,91902,Hybrid,80,54,86
42,Professional Degree,Male,58,67,38,39,28,59,66,59,Science,Forensic Scientist,105062,Remote,48,93,50
31,Bachelor's,Female,64,67,44,49,20,43,68,62,Finance and Economics,Corporate Treasurer,85212,Travel-based,57,70,51
42,Associate Degree,Male,58,60,39,7,72,40,33,64,Education,Curriculum Developer,103510,Travel-based,84,52,71
21,Master's,Male,74,55,43,53,14,58,29,23,Technology,Blockchain Developer,66122,On-site,100,30,72
30,Bachelor's,Female,16,28,75,47,39,53,60,72,Arts and Performance,Actor,75219,Travel-based,62,89,43
38,Bachelor's,Female,31,31,57,49,51,35,45,32,Education,Educational Consultant,29614,Hybrid,51,78,71
20,Master's,Female,37,48,21,32,30,54,51,36,Arts and Performance,Choreographer,76850,Hybrid,100,64,39
48,Associate Degree,Male,24,67,66,27,66,81,28,32,Healthcare,Nutritionist,101544,Hybrid,77,80,55
39,Master's,Prefer Not to Say,23,71,73,45,49,19,60,61,Finance and Economics,Securities Trader,74978,Remote,81,59,72
25,Associate Degree,Female,50,47,55,43,47,67,41,18,Healthcare,Psychologist,46232,Flexible,84,95,78
30,High School,Male,55,56,45,34,36,32,33,49,Social Sciences,Human Rights Advocate,129617,Hybrid,58,46,64
37,Bachelor's,Female,60,59,52,65,60,25,67,68,Social Sciences,Sociologist,105500,Remote,66,45,51
46,Master's,Female,97,34,22,56,64,45,79,23,Finance and Economics,Corporate Treasurer,136581,Hybrid,100,74,38
27,Master's,Female,39,67,42,49,51,12,50,36,Technology,DevOps Engineer,47305,Hybrid,86,50,79
32,PhD,Male,44,66,57,61,69,43,38,28,Social Sciences,Cultural Researcher,122340,Hybrid,43,43,100
22,Professional Degree,Female,60,61,61,45,47,57,52,6,Finance and Economics,Economist,90256,Remote,100,55,33
39,Bachelor's,Female,44,68,60,58,62,91,27,59,Social Sciences,Human Rights Advocate,57439,Hybrid,62,41,61
32,Master's,Female,70,68,25,51,36,25,46,44,Technology,Data Scientist,106171,On-site,59,100,59
45,Professional Degree,Female,92,18,12,87,58,33,61,0,Finance and Economics,Fundraising Manager,112728,On-site,50,60,57
36,PhD,Male,31,55,32,42,30,63,67,45,Engineering,Automotive Engineer,76010,Remote,69,61,21
50,Bachelor's,Non-Binary,28,79,70,56,85,57,58,49,Social Sciences,Policy Analyst,66230,Hybrid,44,84,72
33,Master's,Male,34,49,75,41,49,51,67,5,Arts and Performance,Stage Designer,121002,Hybrid,60,48,54
20,Bachelor's,Male,62,37,26,38,46,38,6,68,Finance and Economics,Corporate Treasurer,50869,On-site,66,85,63
35,High School,Female,62,63,35,52,59,79,64,66,Creative,Film Director,97293,Travel-based,53,62,78
49,Associate Degree,Male,64,41,40,56,59,54,56,84,Healthcare,Pharmacist,113239,Remote,49,81,54
39,Bachelor's,Male,86,46,33,37,28,34,43,22,Creative,Interior Designer,57767,Remote,100,60,68
40,Master's,Male,71,37,67,28,68,53,61,26,Culinary and Hospitality,Sommelier,56550,Remote,79,42,62
21,Professional Degree,Male,67,25,61,63,36,62,55,39,Business,Investment Banker,95490,Hybrid,39,40,11
36,Bachelor's,Female,45,64,44,43,65,57,56,59,Finance and Economics,Cryptocurrency Analyst,103374,Flexible,50,29,65
33,High School,Male,49,47,57,79,72,24,62,77,Engineering,Aerospace Engineer,145368,Flexible,90,68,72
37,Bachelor's,Female,71,53,50,43,81,34,81,60,Engineering,Software Engineering Manager,21999,Hybrid,83,32,57
44,PhD,Male,38,52,89,40,29,80,89,50,Culinary and Hospitality,Nutritional Consultant,62725,Remote,60,80,77
47,Professional Degree,Non-Binary,84,61,32,90,39,43,57,81,Arts and Performance,Opera Singer,98899,Remote,71,77,58
41,PhD,Female,0,44,55,27,58,46,85,81,Education,Educational Psychologist,82782,Hybrid,61,51,47
37,Master's,Female,35,27,62,63,34,68,37,55,Social Sciences,Urban Planner,98642,Hybrid,60,76,49
33,Professional Degree,Male,46,35,46,19,40,44,45,45,Engineering,Aerospace Engineer,111236,Hybrid,57,59,60
23,Bachelor's,Female,29,40,43,35,24,41,54,62,Science,Forensic Scientist,57199,Remote,69,49,42
27,Professional Degree,Female,61,14,43,56,54,100,57,30,Science,Zoologist,82582,Remote,53,58,14
44,Master's,Female,39,48,37,85,44,87,66,60,Media and Communication,Copywriter,27170,Hybrid,64,67,58
43,Bachelor's,Male,49,22,49,84,75,49,69,43,Social Sciences,Sociologist,131887,Hybrid,65,26,32
33,High School,Male,44,88,83,94,47,56,20,80,Engineering,Environmental Engineer,52081,Hybrid,58,37,54
27,Master's,Male,38,39,39,67,28,54,74,40,Science,Forensic Scientist,120392,Hybrid,74,46,45
30,Master's,Female,60,28,64,58,44,33,32,61,Healthcare,Psychologist,98752,On-site,28,85,37
29,Professional Degree,Male,49,32,31,37,56,46,5,8,Arts and Performance,Theatre Director,2575,Travel-based,60,48,59
30,Bachelor's,Male,78,42,58,53,7,65,54,60,Media and Communication,Content Creator,136741,On-site,64,100,8
38,Master's,Male,49,42,39,57,20,65,42,27,Arts and Performance,Stage Designer,68940,Travel-based,77,51,75
28,Associate Degree,Female,65,64,87,46,63,52,76,36,Arts and Performance,Choreographer,83074,On-site,72,75,46
38,Bachelor's,Female,48,54,82,70,67,41,32,69,Engineering,Environmental Engineer,66881,Flexible,65,78,79
20,Bachelor's,Female,42,70,41,63,46,56,27,52,Media and Communication,Technical Writer,36086,Flexible,94,0,46
43,Associate Degree,Male,59,80,31,85,69,45,73,28,Media and Communication,Media Strategist,69131,On-site,49,44,38
47,Bachelor's,Male,45,57,39,14,55,12,49,23,Engineering,Chemical Process Engineer,88173,Hybrid,95,100,68
27,Bachelor's,Female,61,54,55,75,65,56,17,31,Science,Geneticist,51094,Hybrid,100,58,52
50,PhD,Male,62,51,46,31,52,55,25,57,Business,Entrepreneur,249188,Flexible,62,57,12
50,Bachelor's,Female,61,23,60,19,72,41,48,77,Technology,Blockchain Developer,67492,Hybrid,91,34,22
20,Bachelor's,Prefer Not to Say,0,41,61,74,41,42,73,13,Finance and Economics,Corporate Treasurer,98477,Travel-based,60,52,54
35,Bachelor's,Female,0,37,59,30,51,59,43,53,Arts and Performance,Theatre Director,103306,On-site,73,41,46
29,Bachelor's,Male,54,64,9,73,43,59,74,23,Science,Geneticist,61487,Hybrid,100,46,44
26,Associate Degree,Female,39,54,26,42,56,43,48,39,Technology,Machine Learning Engineer,137648,Remote,70,30,56
37,Bachelor's,Male,64,25,84,54,83,35,86,66,Healthcare,Psychologist,77544,Travel-based,94,71,55
36,Master's,Male,11,28,46,56,49,74,11,53,Business,Management Consultant,82166,Hybrid,78,24,65
26,High School,Prefer Not to Say,76,71,62,47,62,36,67,83,Culinary and Hospitality,Nutritional Consultant,95843,Hybrid,44,81,35
41,Associate Degree,Male,59,13,27,44,44,26,58,55,Finance and Economics,Corporate Treasurer,116461,Remote,100,56,35
30,Bachelor's,Female,38,60,43,47,65,12,76,51,Social Sciences,International Relations Specialist,83873,On-site,35,52,48
50,Master's,Male,51,59,69,30,59,45,67,7,Arts and Performance,Stage Designer,97968,Remote,79,58,38
28,Master's,Male,36,48,32,67,43,0,43,29,Culinary and Hospitality,Food Critic,88282,Travel-based,97,27,25
38,High School,Female,38,59,41,36,27,15,42,53,Healthcare,Physical Therapist,56628,Remote,82,58,42
22,High School,Female,66,30,35,21,40,70,60,70,Education,Curriculum Developer,75076,Hybrid,54,70,28
48,Master's,Male,26,68,68,87,42,64,96,38,Technology,Machine Learning Engineer,106381,Flexible,32,29,12
31,Master's,Male,59,54,59,54,76,31,36,35,Technology,Data Scientist,161037,Remote,94,77,68
23,Bachelor's,Male,83,80,65,86,17,40,35,64,Healthcare,Psychiatrist,126116,Hybrid,84,39,65
38,Professional Degree,Male,30,33,75,66,49,42,9,29,Media and Communication,Broadcast Journalist,90684,Remote,90,98,24
